latitude,longitude,altitude,geometry,gestore,comune_ok,indirizzo,id
41.153044444,16.409344444,,Point,Iliad Italia s.p.a,Corato,Corato ---- Corso Garibaldi 39,3636
41.219505555,16.305880555,,Point,Vodafone Italia S.p.A.,Andria,Andria ---- Via Corato 130,3637
39.881019444,18.367122222,,Point,Iliad Italia s.p.a,Corsano,Corsano ---- Via Dell'Artigianato Zona PIP snc,3638
40.687583333,17.762972222,,Point,Iliad Italia s.p.a,Carovigno,Carovigno ---- Contrada Serranova s.n.,3639
40.462305555,17.300833333,,Point,Vodafone Italia S.p.A.,Taranto,Taranto ---- Via Consiglio 115,3640
40.462305555,17.300833333,,Point,Telecom Italia S.p.A.,Taranto,Taranto ---- Via Consiglio 115,3641
40.51125,17.181827777,,Point,Telecom Italia S.p.A.,Taranto,Taranto ---- Località c/o Stabilimento ILVA (Logistica) snc,3642
40.51125,17.181827777,,Point,Vodafone Italia S.p.A.,Taranto,Taranto ---- Località c/o Stabilimento ILVA (Logistica) snc,3643
41.064455555,16.8256,,Point,Wind Tre s.p.a.,Bitritto,Bitritto ---- Contrada La Marchesa - Via dei Cedri n.d.,3644
41.303609,16.287871,,Point,Iliad Italia s.p.a,Barletta,Barletta ---- Via Crocifisso 0,3645
40.422194444,17.225277777,,Point,Telecom Italia S.p.A.,Taranto,Taranto ---- Viale Ionio snc,3646
40.422194444,17.225277777,,Point,Wind Tre s.p.a.,Taranto,Taranto ---- Viale Ionio snc,3647
40.32355,18.365930555,,Point,Iliad Italia s.p.a,Melendugno,Melendugno ---- Contrada San Basilio snc,3648
40.32355,18.365930555,,Point,Wind Tre s.p.a.,Melendugno,Melendugno ---- Contrada San Basilio snc,3649
41.110833333,16.875408333,,Point,Wind Tre s.p.a.,Bari,Bari ---- Via De Ruggiero 50,3650
41.164222222,16.403527777,,Point,Wind Tre s.p.a.,Corato,Corato ---- Via Vecchia Barletta n.d. c/o Cimitero Comunale,3651
40.241197222,18.265027777,,Point,Iliad Italia s.p.a,Martignano,Martignano ---- Contrada S. Giorgio snc,3652
40.241197222,18.265027777,,Point,Wind Tre s.p.a.,Martignano,Martignano ---- Contrada S. Giorgio snc,3653
40.415777777,18.070027777,,Point,Iliad Italia s.p.a,Trepuzzi,Trepuzzi ---- Via G. Elia snc,3654
41.863416666,16.168722222,,Point,Wind Tre s.p.a.,Vieste,Vieste ---- Località Scialara snc,3655
41.156022222,16.426863888,,Point,Wind Tre s.p.a.,Corato,Corato ---- Strada Provinciale 23 n.d. c/o Depuratore,3656
41.156022222,16.426863888,,Point,Iliad Italia s.p.a,Corato,Corato ---- Strada Provinciale 23 n.d. c/o Depuratore,3657
41.455138888,15.541333333,,Point,Vodafone Italia S.p.A.,Foggia,Foggia ---- Largo Zaccheria - 2 snc,3658
41.455138888,15.541333333,,Point,Telecom Italia S.p.A.,Foggia,Foggia ---- Largo Zaccheria - 2 snc,3659
40.450638888,17.508,,Point,Iliad Italia s.p.a,San Marzano di San Giuseppe,San Marzano di San Giuseppe ---- Via XXI Aprile 4 (Iliad),3660
40.603555555,17.154888888,,Point,A.P.S. Radio Maria,Massafra,Massafra ---- Località Panarelle snc,3661
40.603555555,17.154888888,,Point,Telenorba s.p.a.,Massafra,Massafra ---- Località Panarelle snc,3662
39.969977777,18.396733333,,Point,Iliad Italia s.p.a,Andrano,Andrano ---- Località Area rurale proprietà Ratucci snc,3663
40.546222222,17.205805555,,Point,Iliad Italia s.p.a,Statte,Statte ---- Località Feliciolla snc (Iliad),3664
41.450138888,15.566666666,,Point,Telecom Italia S.p.A.,Foggia,Foggia ---- Via Gramsci - 2 95,3665
41.450405555,15.566366666,,Point,Vodafone Italia S.p.A.,Foggia,Foggia ---- Via Gramsci 85,3666
41.036047222,16.884830555,,Point,Wind Tre s.p.a.,Valenzano,Valenzano ---- Via Vecchia Montrone snc,3667
41.036047222,16.884830555,,Point,Fastweb Air s.r.l.,Valenzano,Valenzano ---- Via Vecchia Montrone snc,3668
41.096858333,16.737505555,,Point,Vodafone Italia S.p.A.,Bitonto,Bitonto ---- Strada Provinciale 239 n.d. (ex S.S. 98) Km. 78,3669
41.036083333,16.884663888,,Point,Vodafone Italia S.p.A.,Valenzano,Valenzano ---- Via santa croce snc,3670
41.036083333,16.884663888,,Point,Telecom Italia S.p.A.,Valenzano,Valenzano ---- Via santa croce snc,3671
40.630283333,17.632252777,,Point,Iliad Italia s.p.a,San Michele Salentino,San Michele Salentino ---- Via Galvani 6,3672
40.826166666,17.388305555,,Point,Wind Tre s.p.a.,Fasano,Fasano ---- Località Pezze di Greco s.n.,3673
40.791305555,17.566944444,,Point,Vodafone Italia S.p.A.,Ostuni,Ostuni ---- Strada Statale 379 complanare svincolo Monticelli s.n.,3674
40.551288888,17.807055555,,Point,Wind Tre s.p.a.,Mesagne,Mesagne ---- Via per Torre Santa Susanna s.n.,3675
